country,country_long,name,capacity_mw,latitude,longitude,primary_fuel,,Text
AUS,Australia,Pinjarra Bauxite Mine and Alumina Refinery,280,-32.6473,115.9469,Non-Renewables,,
AUS,Australia,Pioneer Sugar Mill,67.8,-19.5575,147.3308,Biomass,,
AUS,Australia,Plane Creek Sugar Mill,14,-21.4282,149.2159,Biomass,,
AUS,Australia,Plutonic Gold Mine,28,-25.311,119.4508,Non-Renewables,,
AUS,Australia,Poatina,100,-41.8115,146.9192,Hydro,,
AUS,Australia,Port Hedland,126,-20.4283,118.5498,Non-Renewables,,
AUS,Australia,Port Hedland (Smaller),84,-20.3782,118.5384,Non-Renewables,,
AUS,Australia,Port Lincoln,73.5,-34.7003,135.8044,Non-Renewables,,
AUS,Australia,Port Stanvac,57.6,-35.1104,138.4915,Non-Renewables,,
AUS,Australia,Proserpine Sugar Mill,17,-20.3985,148.5797,Biomass,,
AUS,Australia,Quarantine,224,-34.7793,138.5224,Non-Renewables,,
AUS,Australia,Racecourse Mill,3.5,-21.1635,149.1344,Biomass,,
AUS,Australia,Ravensthorpe,56,-33.61,120.36,Non-Renewables,,
AUS,Australia,Red Hill,3.65,-31.8317,116.0992,Waste,,
AUS,Australia,Redbank,150,-32.5802,151.0719,Non-Renewables,,
AUS,Australia,Reece,238,-41.7238,145.1359,Hydro,,
AUS,Australia,Remount,2.2,-41.395,147.1554,Waste,,
AUS,Australia,Repulse,28,-42.5077,146.647,Hydro,,
AUS,Australia,Revesby Workers Club,2.5,-33.9534,151.0137,Non-Renewables,,
AUS,Australia,Rochedale,4,-27.5591,153.1236,Waste,,
AUS,Australia,Rockingham,2.1,-32.2863,115.8154,Waste,,
AUS,Australia,Rocky Point Sugar Sugar Mill,30,-27.7334,153.3276,Biomass,,
AUS,Australia,Roghan Road,2,-27.3388,153.0344,Waste,,
AUS,Australia,Rollingstone QLD,125,-19.03,146.394,Solar,,
AUS,Australia,Roma,80,-26.5772,148.8402,Non-Renewables,,
AUS,Australia,Ron Goodin,44.6,-23.7091,133.8912,Non-Renewables,,
AUS,Australia,Ross River,148,-19.424,146.715,Solar,,
AUS,Australia,Rowallan,10.5,-41.7295,146.2176,Hydro,,
AUS,Australia,Roy Hill,6,-22.4812,119.9472,Non-Renewables,,
AUS,Australia,Royalla Solar Farm,20,-35.4897,149.1435,Solar,,
AUS,Australia,Rubicon,13.55,-37.3272,145.8605,Hydro,,
AUS,Australia,Rugby Run Solar Farm,65,-22.1405,147.9188,Solar,,
